Repo Name, User Name, Stars, Repo URL
three.js,mrdoob,99.8k, https://github.com/mrdoob/three.js
react-three-fiber,pmndrs,26.3k, https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22.8k, https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,22.6k, https://github.com/BabylonJS/Babylon.js
tinyrenderer,ssloy,19.6k, https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18k, https://github.com/FreeCAD/FreeCAD
3d-game-shaders-for-beginners,lettier,17.3k, https://github.com/lettier/3d-game-shaders-for-beginners
aframe,aframevr,16.3k, https://github.com/aframevr/aframe
cesium,CesiumGS,12.2k, https://github.com/CesiumGS/cesium
blender,blender,11.9k, https://github.com/blender/blender
MonoGame,MonoGame,11k, https://github.com/MonoGame/MonoGame
mapbox-gl-js,mapbox,10.8k, https://github.com/mapbox/mapbox-gl-js
Open3D,isl-org,10.7k, https://github.com/isl-org/Open3D
zdog,metafizzy,10.3k, https://github.com/metafizzy/zdog
3D-Machine-Learning,timzhang642,9.5k, https://github.com/timzhang642/3D-Machine-Learning
nerfstudio,nerfstudio-project,8.7k, https://github.com/nerfstudio-project/nerfstudio
SpaceshipGenerator,a1studmuffin,7.6k, https://github.com/a1studmuffin/SpaceshipGenerator
Fyrox,FyroxEngine,7.4k, https://github.com/FyroxEngine/Fyrox
BlenderGIS,domlysz,7.4k, https://github.com/domlysz/BlenderGIS
model-viewer,google,6.6k, https://github.com/google/model-viewer
