Repo Name, User Name, Stars, Repo URL
public-apis,public-apis,296k, https://github.com/public-apis/public-apis
neovim,neovim,79k, https://github.com/neovim/neovim
fastapi,tiangolo,72.4k, https://github.com/tiangolo/fastapi
strapi,strapi,61.2k, https://github.com/strapi/strapi
hoppscotch,hoppscotch,60.9k, https://github.com/hoppscotch/hoppscotch
imgui,ocornut,56.9k, https://github.com/ocornut/imgui
slate,slatedocs,35.9k, https://github.com/slatedocs/slate
quivr,QuivrHQ,33.7k, https://github.com/QuivrHQ/quivr
insomnia,Kong,33.4k, https://github.com/Kong/insomnia
trpc,trpc,33.2k, https://github.com/trpc/trpc
cli,httpie,32.4k, https://github.com/httpie/cli
ccxt,ccxt,31.7k, https://github.com/ccxt/ccxt
graphql-engine,hasura,30.9k, https://github.com/hasura/graphql-engine
NeteaseCloudMusicApi,Binaryify,30.2k, https://github.com/Binaryify/NeteaseCloudMusicApi
django-rest-framework,encode,27.7k, https://github.com/encode/django-rest-framework
yapi,YMFE,27.2k, https://github.com/YMFE/yapi
directus,directus,26.2k, https://github.com/directus/directus
ItChat,littlecodersh,25.2k, https://github.com/littlecodersh/ItChat
postgrest,PostgREST,22.6k, https://github.com/PostgREST/postgrest
api-guidelines,microsoft,22.5k, https://github.com/microsoft/api-guidelines
