Repo Name, User Name, Stars, Repo URL
server,bitwarden,14.6k, https://github.com/bitwarden/server
AspNetCore.Docs,dotnet,12.4k, https://github.com/dotnet/AspNetCore.Docs
abp,abpframework,12.4k, https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11.6k, https://github.com/aspnetboilerplate/aspnetboilerplate
nopCommerce,nopSolutions,9k, https://github.com/nopSolutions/nopCommerce
Electron.NET,ElectronNET,7.1k, https://github.com/ElectronNET/Electron.NET
clean-code-dotnet,thangchung,6.9k, https://github.com/thangchung/clean-code-dotnet
NSwag,RicoSuter,6.6k, https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,4k, https://github.com/FastEndpoints/FastEndpoints
aspnet-api-versioning,dotnet,3k, https://github.com/dotnet/aspnet-api-versioning
SmartStoreNET,smartstore,2.6k, https://github.com/smartstore/SmartStoreNET
Awesome-Microservices-DotNet,mjebrahimi,2.6k, https://github.com/mjebrahimi/Awesome-Microservices-DotNet
Serenity,serenity-is,2.6k, https://github.com/serenity-is/Serenity
BaGet,loic-sharma,2.5k, https://github.com/loic-sharma/BaGet
ImageProcessor,JimBobSquarePants,2.5k, https://github.com/JimBobSquarePants/ImageProcessor
DotNet-Developer-Roadmap,milanm,1.5k, https://github.com/milanm/DotNet-Developer-Roadmap
aspnetcore-angular-universal,TrilonIO,1.5k, https://github.com/TrilonIO/aspnetcore-angular-universal
csla,MarimerLLC,1.2k, https://github.com/MarimerLLC/csla
aspnetcore-Vue-starter,TrilonIO,1.2k, https://github.com/TrilonIO/aspnetcore-Vue-starter
Smartstore,smartstore,1.1k, https://github.com/smartstore/Smartstore
