Repo Name, User Name, Stars, Repo URL
coding-interview-university,jwasham,295k, https://github.com/jwasham/coding-interview-university
javascript-algorithms,trekhleb,184k, https://github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,181k, https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,173k, https://github.com/CyC2018/CS-Notes
tech-interview-handbook,yangshun,113k, https://github.com/yangshun/tech-interview-handbook
hello-algo,krahets,77.6k, https://github.com/krahets/hello-algo
interviews,kdn251,62.5k, https://github.com/kdn251/interviews
Java,TheAlgorithms,57.3k, https://github.com/TheAlgorithms/Java
leetcode,azl397985856,54k, https://github.com/azl397985856/leetcode
leetcode-master,youngyangyang04,48.2k, https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46.4k, https://github.com/algorithm-visualizer/algorithm-visualizer
interview,huihut,33.5k, https://github.com/huihut/interview
LeetCode-Go,halfrost,32.2k, https://github.com/halfrost/LeetCode-Go
JavaScript,TheAlgorithms,31.6k, https://github.com/TheAlgorithms/JavaScript
C-Plus-Plus,TheAlgorithms,29.5k, https://github.com/TheAlgorithms/C-Plus-Plus
interactive-coding-challenges,donnemartin,29k, https://github.com/donnemartin/interactive-coding-challenges
JCSprout,crossoverJie,27.1k, https://github.com/crossoverJie/JCSprout
algorithms,keon,23.7k, https://github.com/keon/algorithms
WaveFunctionCollapse,mxgmn,22.9k, https://github.com/mxgmn/WaveFunctionCollapse
homemade-machine-learning,trekhleb,22.6k, https://github.com/trekhleb/homemade-machine-learning
