Repo Name, User Name, Stars, Repo URL
devops-exercises,bregman-arie,64.4k, https://github.com/bregman-arie/devops-exercises
system-design-101,ByteByteGoHq,59.6k, https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,52.6k, https://github.com/localstack/localstack
serverless,serverless,46.1k, https://github.com/serverless/serverless
data-science-ipython-notebooks,donnemartin,26.6k, https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,20.7k, https://github.com/sst/sst
pulumi,pulumi,20.3k, https://github.com/pulumi/pulumi
kubespray,kubernetes-sigs,15.5k, https://github.com/kubernetes-sigs/kubespray
sops,getsops,15.4k, https://github.com/getsops/sops
aws-cli,aws,15k, https://github.com/aws/aws-cli
awesome-kubernetes,ramitsurana,14.8k, https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12.5k, https://github.com/caprover/caprover
awesome-aws,donnemartin,12.2k, https://github.com/donnemartin/awesome-aws
terraformer,GoogleCloudPlatform,12k, https://github.com/GoogleCloudPlatform/terraformer
aws-cdk,aws,11.3k, https://github.com/aws/aws-cdk
cas,apereo,10.7k, https://github.com/apereo/cas
chalice,aws,10.5k, https://github.com/aws/chalice
infracost,infracost,10.4k, https://github.com/infracost/infracost
DevOps-Roadmap,milanm,10.1k, https://github.com/milanm/DevOps-Roadmap
phidata,phidatahq,9.9k, https://github.com/phidatahq/phidata
