Repo Name, User Name, Stars, Repo URL
amp,amphp,4.2k, https://github.com/amphp/amp
MadelineProto,danog,2.7k, https://github.com/danog/MadelineProto
telegram-api,unreal4u,784, https://github.com/unreal4u/telegram-api
parallel,amphp,753, https://github.com/amphp/parallel
http-client,amphp,700, https://github.com/amphp/http-client
byte-stream,amphp,360, https://github.com/amphp/byte-stream
mysql,amphp,350, https://github.com/amphp/mysql
service-bus,php-service-bus,349, https://github.com/php-service-bus/service-bus
parallel-functions,amphp,267, https://github.com/amphp/parallel-functions
process,amphp,226, https://github.com/amphp/process
TelegramRSS,xtrime-ru,217, https://github.com/xtrime-ru/TelegramRSS
socket,amphp,214, https://github.com/amphp/socket
sync,amphp,156, https://github.com/amphp/sync
redis,amphp,152, https://github.com/amphp/redis
dns,amphp,152, https://github.com/amphp/dns
websocket-client,amphp,140, https://github.com/amphp/websocket-client
acme,kelunik,121, https://github.com/kelunik/acme
websocket-server,amphp,114, https://github.com/amphp/websocket-server
serialization,amphp,106, https://github.com/amphp/serialization
cache,amphp,96, https://github.com/amphp/cache
