Repo Name, User Name, Stars, Repo URL
flutter,flutter,163k, https://github.com/flutter/flutter
react-native,facebook,117k, https://github.com/facebook/react-native
free-programming-books-zh_CN,justjavac,110k, https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,104k, https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,78.9k, https://github.com/Hack-with-Github/Awesome-Hacking
awesome-flutter,Solido,51.8k, https://github.com/Solido/awesome-flutter
material-design-icons,google,50k, https://github.com/google/material-design-icons
awesome-android-ui,wasabeef,49.5k, https://github.com/wasabeef/awesome-android-ui
tldr,tldr-pages,49k, https://github.com/tldr-pages/tldr
okhttp,square,45.4k, https://github.com/square/okhttp
architecture-samples,android,44k, https://github.com/android/architecture-samples
joplin,laurent22,43.8k, https://github.com/laurent22/joplin
retrofit,square,42.7k, https://github.com/square/retrofit
appwrite,appwrite,41.8k, https://github.com/appwrite/appwrite
jadx,skylot,39.7k, https://github.com/skylot/jadx
uni-app,dcloudio,39.5k, https://github.com/dcloudio/uni-app
fastlane,fastlane,38.8k, https://github.com/fastlane/fastlane
MPAndroidChart,PhilJay,37.3k, https://github.com/PhilJay/MPAndroidChart
shadowsocks-android,shadowsocks,34.8k, https://github.com/shadowsocks/shadowsocks-android
lottie-android,airbnb,34.7k, https://github.com/airbnb/lottie-android
