Repo Name, User Name, Stars, Repo URL
free-programming-books-zh_CN,justjavac,110k, https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,94.9k, https://github.com/angular/angular
storybook,storybookjs,83.2k, https://github.com/storybookjs/storybook
33-js-concepts,leonardomso,62.4k, https://github.com/leonardomso/33-js-concepts
ionic-framework,ionic-team,50.6k, https://github.com/ionic-team/ionic-framework
prettier,prettier,48.5k, https://github.com/prettier/prettier
30-Days-Of-JavaScript,Asabeneh,41.4k, https://github.com/Asabeneh/30-Days-Of-JavaScript
sheetjs,SheetJS,34.7k, https://github.com/SheetJS/sheetjs
angular-cli,angular,26.6k, https://github.com/angular/angular-cli
components,angular,24.1k, https://github.com/angular/components
NativeScript,NativeScript,23.8k, https://github.com/NativeScript/NativeScript
javascript-testing-best-practices,goldbergyoni,23.7k, https://github.com/goldbergyoni/javascript-testing-best-practices
wails,wailsapp,23k, https://github.com/wailsapp/wails
nx,nrwl,22.4k, https://github.com/nrwl/nx
javascript-interview-questions,sudheerj,22.4k, https://github.com/sudheerj/javascript-interview-questions
generator-jhipster,jhipster,21.3k, https://github.com/jhipster/generator-jhipster
rxdb,pubkey,20.9k, https://github.com/pubkey/rxdb
bit,teambit,17.7k, https://github.com/teambit/bit
paperless-ngx,paperless-ngx,17.6k, https://github.com/paperless-ngx/paperless-ngx
sweetalert2,sweetalert2,16.9k, https://github.com/sweetalert2/sweetalert2
