Repo Name, User Name, Stars, Repo URL
devops-exercises,bregman-arie,64.4k, https://github.com/bregman-arie/devops-exercises
ansible,ansible,61.6k, https://github.com/ansible/ansible
algo,trailofbits,28.4k, https://github.com/trailofbits/algo
90DaysOfDevOps,MichaelCade,26k, https://github.com/MichaelCade/90DaysOfDevOps
streisand,StreisandEffect,23.1k, https://github.com/StreisandEffect/streisand
kubespray,kubernetes-sigs,15.5k, https://github.com/kubernetes-sigs/kubespray
awx,ansible,13.6k, https://github.com/ansible/awx
kubeasz,easzlab,10.2k, https://github.com/easzlab/kubeasz
semaphore,semaphoreui,9.5k, https://github.com/semaphoreui/semaphore
netboot.xyz,netbootxyz,8.3k, https://github.com/netbootxyz/netboot.xyz
ansible-for-devops,geerlingguy,8.1k, https://github.com/geerlingguy/ansible-for-devops
homelab,khuedoan,7.8k, https://github.com/khuedoan/homelab
DevOps-Guide,Tikam02,7.8k, https://github.com/Tikam02/DevOps-Guide
mac-dev-playbook,geerlingguy,5.8k, https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5.4k, https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4.9k, https://github.com/KubeOperator/KubeOperator
DetectionLab,clong,4.5k, https://github.com/clong/DetectionLab
molecule,ansible,3.8k, https://github.com/ansible/molecule
boilerplates,ChristianLempa,3.8k, https://github.com/ChristianLempa/boilerplates
ansible-collection-hardening,dev-sec,3.7k, https://github.com/dev-sec/ansible-collection-hardening
