Repo Name, User Name, Stars, Repo URL
Tasmota,arendst,21.6k, https://github.com/arendst/Tasmota
Marlin,MarlinFirmware,16k, https://github.com/MarlinFirmware/Marlin
tinygo,tinygo-org,14.6k, https://github.com/tinygo-org/tinygo
Arduino,arduino,14k, https://github.com/arduino/Arduino
johnny-five,rwaldron,13.2k, https://github.com/rwaldron/johnny-five
esp8266_deauther,SpacehuhnTech,13k, https://github.com/SpacehuhnTech/esp8266_deauther
arduino-esp32,espressif,12.8k, https://github.com/espressif/arduino-esp32
lowlevelprogramming-university,gurugio,9.7k, https://github.com/gurugio/lowlevelprogramming-university
gobot,hybridgroup,8.8k, https://github.com/hybridgroup/gobot
platformio-core,platformio,7.6k, https://github.com/platformio/platformio-core
ArduinoJson,bblanchon,6.6k, https://github.com/bblanchon/ArduinoJson
WiFiManager,tzapu,6.4k, https://github.com/tzapu/WiFiManager
u8g2,olikraus,4.9k, https://github.com/olikraus/u8g2
ESP32Marauder,justcallmekoko,4.8k, https://github.com/justcallmekoko/ESP32Marauder
OpenMower,ClemensElflein,4.5k, https://github.com/ClemensElflein/OpenMower
deej,omriharel,4.4k, https://github.com/omriharel/deej
Arduino-IRremote,Arduino-IRremote,4.3k, https://github.com/Arduino-IRremote/Arduino-IRremote
arduino-cli,arduino,4.2k, https://github.com/arduino/arduino-cli
cylon,hybridgroup,4.2k, https://github.com/hybridgroup/cylon
Serial-Studio,Serial-Studio,4.2k, https://github.com/Serial-Studio/Serial-Studio
