Repo Name, User Name, Stars, Repo URL
awesome,sindresorhus,306k, https://github.com/sindresorhus/awesome
awesome-python,vinta,209k, https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,183k, https://github.com/awesome-selfhosted/awesome-selfhosted
the-book-of-secret-knowledge,trimstray,134k, https://github.com/trimstray/the-book-of-secret-knowledge
awesome-go,avelino,123k, https://github.com/avelino/awesome-go
HelloGitHub,521xueweihan,86.4k, https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,84.5k, https://github.com/papers-we-love/papers-we-love
Awesome-Hacking,Hack-with-Github,78.9k, https://github.com/Hack-with-Github/Awesome-Hacking
awesome-mac,jaywcjlove,72.4k, https://github.com/jaywcjlove/awesome-mac
awesome-interview-questions,DopplerHQ,68.3k, https://github.com/DopplerHQ/awesome-interview-questions
awesome-for-beginners,MunGell,65k, https://github.com/MunGell/awesome-for-beginners
awesome-react,enaqx,62.8k, https://github.com/enaqx/awesome-react
awesome-nodejs,sindresorhus,56.6k, https://github.com/sindresorhus/awesome-nodejs
awesome-cpp,fffaraz,56.4k, https://github.com/fffaraz/awesome-cpp
awesome-scalability,binhnguyennus,55.8k, https://github.com/binhnguyennus/awesome-scalability
awesome-courses,prakhar1989,54.7k, https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,51.8k, https://github.com/Solido/awesome-flutter
awesome-android-ui,wasabeef,49.5k, https://github.com/wasabeef/awesome-android-ui
github-cheat-sheet,tiimgreen,46.2k, https://github.com/tiimgreen/github-cheat-sheet
awesome-ios,vsouza,46.1k, https://github.com/vsouza/awesome-ios
