Repo Name, User Name, Stars, Repo URL
babel,babel,43k, https://github.com/babel/babel
swc,swc-project,30.2k, https://github.com/swc-project/swc
nylas-mail,nylas,24.8k, https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,22.8k, https://github.com/electron-react-boilerplate/electron-react-boilerplate
electron-vue,SimulatedGREG,15.4k, https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,15.1k, https://github.com/grab/front-end-guide
babel-handbook,jamiebuilds,12k, https://github.com/jamiebuilds/babel-handbook
htm,developit,8.6k, https://github.com/developit/htm
grommet,grommet,8.3k, https://github.com/grommet/grommet
twin.macro,ben-rogerson,7.8k, https://github.com/ben-rogerson/twin.macro
ast-grep,ast-grep,6.3k, https://github.com/ast-grep/ast-grep
generator-angular-fullstack,angular-fullstack,6.1k, https://github.com/angular-fullstack/generator-angular-fullstack
astexplorer,fkling,6k, https://github.com/fkling/astexplorer
documentation,documentationjs,5.8k, https://github.com/documentationjs/documentation
nwb,insin,5.6k, https://github.com/insin/nwb
thinkjs,thinkjs,5.3k, https://github.com/thinkjs/thinkjs
gogocode,thx,5.3k, https://github.com/thx/gogocode
poi,egoist,5.2k, https://github.com/egoist/poi
react,duxianwei520,5k, https://github.com/duxianwei520/react
babel-loader,babel,4.8k, https://github.com/babel/babel-loader
