Repo Name, User Name, Stars, Repo URL
the-art-of-command-line,jlevy,150k, https://github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,76.6k, https://github.com/nvm-sh/nvm
fzf,junegunn,61k, https://github.com/junegunn/fzf
zx,google,42.1k, https://github.com/google/zx
starship,starship,41.7k, https://github.com/starship/starship
awesome-cheatsheets,LeCoupa,38.1k, https://github.com/LeCoupa/awesome-cheatsheets
acme.sh,acmesh-official,37.2k, https://github.com/acmesh-official/acme.sh
pure-bash-bible,dylanaraps,36.1k, https://github.com/dylanaraps/pure-bash-bible
shellcheck,koalaman,35.3k, https://github.com/koalaman/shellcheck
awesome-shell,alebcay,31.6k, https://github.com/alebcay/awesome-shell
dotfiles,mathiasbynens,29.9k, https://github.com/mathiasbynens/dotfiles
linux-command,jaywcjlove,29.4k, https://github.com/jaywcjlove/linux-command
autocomplete,withfig,24.3k, https://github.com/withfig/autocomplete
neofetch,dylanaraps,21.3k, https://github.com/dylanaraps/neofetch
WindTerm,kingToolbox,21.1k, https://github.com/kingToolbox/WindTerm
asdf,asdf-vm,20.9k, https://github.com/asdf-vm/asdf
zoxide,ajeetdsouza,19.8k, https://github.com/ajeetdsouza/zoxide
Warp,warpdotdev,19.3k, https://github.com/warpdotdev/Warp
openvpn-install,Nyr,18.5k, https://github.com/Nyr/openvpn-install
atuin,atuinsh,18.3k, https://github.com/atuinsh/atuin
