Repo Name, User Name, Stars, Repo URL
bitcoin,bitcoin,76.8k, https://github.com/bitcoin/bitcoin
ccxt,ccxt,31.7k, https://github.com/ccxt/ccxt
freqtrade,freqtrade,26k, https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,23.1k, https://github.com/bitcoinbook/bitcoinbook
ZeroNet,HelloZeroNet,18.2k, https://github.com/HelloZeroNet/ZeroNet
solana,solana-labs,12.5k, https://github.com/solana-labs/solana
abu,bbfamily,11.4k, https://github.com/bbfamily/abu
gekko,askmike,10k, https://github.com/askmike/gekko
blockchain,dvf,7.7k, https://github.com/dvf/blockchain
lnd,lightningnetwork,7.5k, https://github.com/lightningnetwork/lnd
electrum,spesmilo,7.2k, https://github.com/spesmilo/electrum
lbry-sdk,lbryio,7.2k, https://github.com/lbryio/lbry-sdk
umbrel,getumbrel,6.8k, https://github.com/getumbrel/umbrel
blockchain_guide,yeasy,6.7k, https://github.com/yeasy/blockchain_guide
Qbot,UFund-Me,6.3k, https://github.com/UFund-Me/Qbot
btcpayserver,btcpayserver,6.1k, https://github.com/btcpayserver/btcpayserver
btcd,btcsuite,6.1k, https://github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,5.6k, https://github.com/bitcoinjs/bitcoinjs-lib
jesse,jesse-ai,5.3k, https://github.com/jesse-ai/jesse
blockchain-demo,anders94,5.1k, https://github.com/anders94/blockchain-demo
