Repo Name, User Name, Stars, Repo URL
ccxt,ccxt,31.7k, https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25.1k, https://github.com/python-telegram-bot/python-telegram-bot
discord.js,discordjs,24.9k, https://github.com/discordjs/discord.js
wechaty,wechaty,19.4k, https://github.com/wechaty/wechaty
rasa,RasaHQ,18.2k, https://github.com/RasaHQ/rasa
hubot,hubotio,16.6k, https://github.com/hubotio/hubot
InstaPy,InstaPy,16.5k, https://github.com/InstaPy/InstaPy
leon,leon-ai,14.8k, https://github.com/leon-ai/leon
discord.py,Rapptz,14.4k, https://github.com/Rapptz/discord.py
whatsapp-web.js,pedroslopez,14k, https://github.com/pedroslopez/whatsapp-web.js
YYeTsBot,tgbot-collection,14k, https://github.com/tgbot-collection/YYeTsBot
ChatterBot,gunthercox,13.9k, https://github.com/gunthercox/ChatterBot
chatgpt-mirai-qq-bot,lss233,12.3k, https://github.com/lss233/chatgpt-mirai-qq-bot
botkit,howdyai,11.4k, https://github.com/howdyai/botkit
go-cqhttp,Mrs4s,10.3k, https://github.com/Mrs4s/go-cqhttp
EverydayWechat,sfyc23,9.9k, https://github.com/sfyc23/EverydayWechat
node-telegram-bot-api,yagop,8k, https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,7.8k, https://github.com/telegraf/telegraf
ailab,microsoft,7.7k, https://github.com/microsoft/ailab
botframework-sdk,microsoft,7.4k, https://github.com/microsoft/botframework-sdk
