Repo Name, User Name, Stars, Repo URL
project-based-learning,practical-tutorials,176k, https://github.com/practical-tutorials/project-based-learning
CS-Notes,CyC2018,173k, https://github.com/CyC2018/CS-Notes
awesome-cpp,fffaraz,56.4k, https://github.com/fffaraz/awesome-cpp
leetcode,azl397985856,54k, https://github.com/azl397985856/leetcode
leetcode-master,youngyangyang04,48.2k, https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43.5k, https://github.com/x64dbg/x64dbg
CPlusPlusThings,Light-City,37.8k, https://github.com/Light-City/CPlusPlusThings
interview,huihut,33.5k, https://github.com/huihut/interview
carbon-lang,carbon-language,32.3k, https://github.com/carbon-language/carbon-lang
openpose,CMU-Perceptual-Computing-Lab,30.2k, https://github.com/CMU-Perceptual-Computing-Lab/openpose
C-Plus-Plus,TheAlgorithms,29.5k, https://github.com/TheAlgorithms/C-Plus-Plus
leetcode,doocs,29.5k, https://github.com/doocs/leetcode
calculator,microsoft,29.1k, https://github.com/microsoft/calculator
aseprite,aseprite,27.2k, https://github.com/aseprite/aseprite
dragonfly,dragonflydb,24.2k, https://github.com/dragonflydb/dragonfly
modern-cpp-tutorial,changkun,23.3k, https://github.com/changkun/modern-cpp-tutorial
spdlog,gabime,22.7k, https://github.com/gabime/spdlog
solidity,ethereum,22.6k, https://github.com/ethereum/solidity
vcpkg,microsoft,22k, https://github.com/microsoft/vcpkg
fmt,fmtlib,19.7k, https://github.com/fmtlib/fmt
