Repo Name, User Name, Stars, Repo URL
scrcpy,Genymobile,104k, https://github.com/Genymobile/scrcpy
neovim,neovim,79k, https://github.com/neovim/neovim
awesome-cpp,fffaraz,56.4k, https://github.com/fffaraz/awesome-cpp
obs-studio,obsproject,56.4k, https://github.com/obsproject/obs-studio
git,git,50.7k, https://github.com/git/git
FFmpeg,FFmpeg,43.2k, https://github.com/FFmpeg/FFmpeg
open-source-mac-os-apps,serhii-londar,40.1k, https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35.3k, https://github.com/vim/vim
curl,curl,34.6k, https://github.com/curl/curl
interview,huihut,33.5k, https://github.com/huihut/interview
mpv,mpv-player,26.4k, https://github.com/mpv-player/mpv
the_silver_searcher,ggreer,25.8k, https://github.com/ggreer/the_silver_searcher
srs,ossrs,24.5k, https://github.com/ossrs/srs
kitty,kovidgoyal,22.5k, https://github.com/kovidgoyal/kitty
flatbuffers,google,22.2k, https://github.com/google/flatbuffers
vcpkg,microsoft,22k, https://github.com/microsoft/vcpkg
ruby,ruby,21.7k, https://github.com/ruby/ruby
hashcat,hashcat,20.2k, https://github.com/hashcat/hashcat
raylib,raysan5,19.9k, https://github.com/raysan5/raylib
radare2,radareorg,19.8k, https://github.com/radareorg/radare2
