Repo Name, User Name, Stars, Repo URL
COVID-19,CSSEGISandData,29.2k, https://github.com/CSSEGISandData/COVID-19
covid-19-data,nytimes,7k, https://github.com/nytimes/covid-19-data
covid19india-react,covid19india,6.9k, https://github.com/covid19india/covid19india-react
covid19,Tokyo-Metro-Gov,6.3k, https://github.com/Tokyo-Metro-Gov/covid19
covid-19-data,owid,5.6k, https://github.com/owid/covid-19-data
COVID-19,pcm-dpc,3.9k, https://github.com/pcm-dpc/COVID-19
covid-chestxray-dataset,ieee8023,3k, https://github.com/ieee8023/covid-chestxray-dataset
corona,geohot,2.5k, https://github.com/geohot/corona
API,disease-sh,2.5k, https://github.com/disease-sh/API
app,WorldHealthOrganization,2.1k, https://github.com/WorldHealthOrganization/app
cwa-server,corona-warn-app,1.9k, https://github.com/corona-warn-app/cwa-server
corona-cli,ahmadawais,1.8k, https://github.com/ahmadawais/corona-cli
china-dictatorship,cirosantilli,1.8k, https://github.com/cirosantilli/china-dictatorship
covid19-dashboard,github,1.6k, https://github.com/github/covid19-dashboard
coronavirus-tracker-api,ExpDev07,1.6k, https://github.com/ExpDev07/coronavirus-tracker-api
awesome-coronavirus,soroushchehresa,1.6k, https://github.com/soroushchehresa/awesome-coronavirus
CoronaTracker,mhdhejazi,1.5k, https://github.com/mhdhejazi/CoronaTracker
Face-Mask-Detection,chandrikadeb7,1.5k, https://github.com/chandrikadeb7/Face-Mask-Detection
tika-python,chrismattmann,1.4k, https://github.com/chrismattmann/tika-python
covid19_scenarios,neherlab,1.4k, https://github.com/neherlab/covid19_scenarios
