Repo Name, User Name, Stars, Repo URL
bypass-paywalls-chrome,iamadamdev,47.4k, https://github.com/iamadamdev/bypass-paywalls-chrome
linux-command,jaywcjlove,29.4k, https://github.com/jaywcjlove/linux-command
refined-github,refined-github,23.4k, https://github.com/refined-github/refined-github
openai-translator,openai-translator,23.1k, https://github.com/openai-translator/openai-translator
darkreader,darkreader,18.9k, https://github.com/darkreader/darkreader
daily,dailydotdev,17k, https://github.com/dailydotdev/daily
headless-recorder,checkly,15k, https://github.com/checkly/headless-recorder
SingleFile,gildas-lormeau,14.1k, https://github.com/gildas-lormeau/SingleFile
codelf,unbug,14k, https://github.com/unbug/codelf
immersive-translate,immersive-translate,13.5k, https://github.com/immersive-translate/immersive-translate
chatgpt-google-extension,wong2,13.3k, https://github.com/wong2/chatgpt-google-extension
return-youtube-dislike,Anarios,12.3k, https://github.com/Anarios/return-youtube-dislike
ext-saladict,crimx,11.7k, https://github.com/crimx/ext-saladict
listen1_chrome_extension,listen1,11.2k, https://github.com/listen1/listen1_chrome_extension
screenity,alyssaxuu,11k, https://github.com/alyssaxuu/screenity
automa,AutomaApp,10.5k, https://github.com/AutomaApp/automa
chathub,chathub-dev,9.7k, https://github.com/chathub-dev/chathub
chatGPTBox,josStorer,9.7k, https://github.com/josStorer/chatGPTBox
SponsorBlock,ajayyy,9k, https://github.com/ajayyy/SponsorBlock
plasmo,PlasmoHQ,8.6k, https://github.com/PlasmoHQ/plasmo
