Repo Name, User Name, Stars, Repo URL
electron,electron,112k, https://github.com/electron/electron
puppeteer,puppeteer,87.2k, https://github.com/puppeteer/puppeteer
playwright,microsoft,62.9k, https://github.com/microsoft/playwright
bypass-paywalls-chrome,iamadamdev,47.4k, https://github.com/iamadamdev/bypass-paywalls-chrome
mkcert,FiloSottile,46.5k, https://github.com/FiloSottile/mkcert
linux-command,jaywcjlove,29.4k, https://github.com/jaywcjlove/linux-command
octotree,ovity,22.7k, https://github.com/ovity/octotree
nightmare,segment-boneyard,19.5k, https://github.com/segment-boneyard/nightmare
headless-recorder,checkly,15k, https://github.com/checkly/headless-recorder
chrome-extensions-samples,GoogleChrome,14.5k, https://github.com/GoogleChrome/chrome-extensions-samples
SingleFile,gildas-lormeau,14.1k, https://github.com/gildas-lormeau/SingleFile
WebFundamentals,google,13.8k, https://github.com/google/WebFundamentals
chromeless,schickling,13.2k, https://github.com/schickling/chromeless
react-color,casesandberg,11.9k, https://github.com/casesandberg/react-color
ext-saladict,crimx,11.7k, https://github.com/crimx/ext-saladict
metamask-extension,MetaMask,11.6k, https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10.5k, https://github.com/chromedp/chromedp
HackBrowserData,moonD4rk,10.2k, https://github.com/moonD4rk/HackBrowserData
SponsorBlock,ajayyy,9k, https://github.com/ajayyy/SponsorBlock
undetected-chromedriver,ultrafunkamsterdam,8.9k, https://github.com/ultrafunkamsterdam/undetected-chromedriver
