Repo Name, User Name, Stars, Repo URL
metabase,metabase,37k, https://github.com/metabase/metabase
logseq,logseq,30.3k, https://github.com/logseq/logseq
penpot,penpot,28.7k, https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13.5k, https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11.7k, https://github.com/LightTable/LightTable
mal,kanaka,9.9k, https://github.com/kanaka/mal
awesomo,lk-geimfari,9.3k, https://github.com/lk-geimfari/awesomo
datascript,tonsky,5.4k, https://github.com/tonsky/datascript
reagent,reagent-project,4.7k, https://github.com/reagent-project/reagent
intellij-rainbow-brackets,izhangzhihao,4.4k, https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4.2k, https://github.com/riemann/riemann
compojure,weavejester,4.1k, https://github.com/weavejester/compojure
clojure-style-guide,bbatsov,4k, https://github.com/bbatsov/clojure-style-guide
babashka,babashka,3.9k, https://github.com/babashka/babashka
defold,defold,3.9k, https://github.com/defold/defold
status-mobile,status-im,3.8k, https://github.com/status-im/status-mobile
ring,ring-clojure,3.7k, https://github.com/ring-clojure/ring
cider,clojure-emacs,3.5k, https://github.com/clojure-emacs/cider
klipse,viebel,3.1k, https://github.com/viebel/klipse
Rich-Hickey-fanclub,tallesl,3k, https://github.com/tallesl/Rich-Hickey-fanclub
