Repo Name, User Name, Stars, Repo URL
SwiftLint,realm,18.4k, https://github.com/realm/SwiftLint
infer,facebook,14.8k, https://github.com/facebook/infer
static-analysis,analysis-tools-dev,13k, https://github.com/analysis-tools-dev/static-analysis
Modern-CPP-Programming,federico-busato,11k, https://github.com/federico-busato/Modern-CPP-Programming
awesome-guidelines,Kristories,9.6k, https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9.2k, https://github.com/super-linter/super-linter
sonarqube,SonarSource,8.7k, https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8.2k, https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7.5k, https://github.com/reviewdog/reviewdog
pyre-check,facebook,6.7k, https://github.com/facebook/pyre-check
detekt,detekt,6.1k, https://github.com/detekt/detekt
state-of-the-art-shitcode,trekhleb,5.4k, https://github.com/trekhleb/state-of-the-art-shitcode
eslint-plugin-import,import-js,5.4k, https://github.com/import-js/eslint-plugin-import
pylint,pylint-dev,5.2k, https://github.com/pylint-dev/pylint
simplecov,simplecov-ruby,4.7k, https://github.com/simplecov-ruby/simplecov
pmd,pmd,4.7k, https://github.com/pmd/pmd
jscpd,kucherenko,4.6k, https://github.com/kucherenko/jscpd
grumphp,phpro,4.1k, https://github.com/phpro/grumphp
HTMLHint,htmlhint,3.1k, https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2.5k, https://github.com/codeclimate/codeclimate
