Repo Name, User Name, Stars, Repo URL
octotree,ovity,22.7k, https://github.com/ovity/octotree
gitpod,gitpod-io,12.4k, https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7.5k, https://github.com/reviewdog/reviewdog
danger,danger,5.4k, https://github.com/danger/danger
danger-js,danger,5.2k, https://github.com/danger/danger-js
pr-agent,Codium-ai,4.6k, https://github.com/Codium-ai/pr-agent
awesome-code-review,joho,4.2k, https://github.com/joho/awesome-code-review
nodejsscan,ajinabraham,2.4k, https://github.com/ajinabraham/nodejsscan
vscode-pull-request-github,microsoft,2.2k, https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,2k, https://github.com/crev-dev/cargo-crev
hound,houndci,1.9k, https://github.com/houndci/hound
mutant,mbj,1.9k, https://github.com/mbj/mutant
CodeAnalysis,Tencent,1.6k, https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1.5k, https://github.com/reviewboard/reviewboard
code-review-tips,ryanmcdermott,1.5k, https://github.com/ryanmcdermott/code-review-tips
ai-pr-reviewer,coderabbitai,1.4k, https://github.com/coderabbitai/ai-pr-reviewer
code-review-gpt,mattzcarey,1.4k, https://github.com/mattzcarey/code-review-gpt
python_sec,bit4woo,1.3k, https://github.com/bit4woo/python_sec
java-concurrency,code-review-checklists,1.3k, https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,958, https://github.com/jiangsir404/Audit-Learning
