Repo Name, User Name, Stars, Repo URL
ohmyzsh,ohmyzsh,170k, https://github.com/ohmyzsh/ohmyzsh
fzf,junegunn,61k, https://github.com/junegunn/fzf
sherlock,sherlock-project,52.1k, https://github.com/sherlock-project/sherlock
bat,sharkdp,47.2k, https://github.com/sharkdp/bat
lazygit,jesseduffield,47.2k, https://github.com/jesseduffield/lazygit
ripgrep,BurntSushi,45.7k, https://github.com/BurntSushi/ripgrep
dive,wagoodman,44.1k, https://github.com/wagoodman/dive
zx,google,42.1k, https://github.com/google/zx
n8n,n8n-io,41.8k, https://github.com/n8n-io/n8n
cheat.sh,chubin,37.7k, https://github.com/chubin/cheat.sh
cobra,spf13,36.5k, https://github.com/spf13/cobra
cli,cli,35.8k, https://github.com/cli/cli
cli,httpie,32.4k, https://github.com/httpie/cli
fd,sharkdp,32.2k, https://github.com/sharkdp/fd
awesome-shell,alebcay,31.6k, https://github.com/alebcay/awesome-shell
modern-unix,ibraheemdev,30.2k, https://github.com/ibraheemdev/modern-unix
ChatGPT,acheong08,28k, https://github.com/acheong08/ChatGPT
tqdm,tqdm,27.7k, https://github.com/tqdm/tqdm
angular-cli,angular,26.6k, https://github.com/angular/angular-cli
python-fire,google,26.5k, https://github.com/google/python-fire
