Repo Name, User Name, Stars, Repo URL
next.js,vercel,122k, https://github.com/vercel/next.js
rust,rust-lang,94.1k, https://github.com/rust-lang/rust
svelte,sveltejs,77.1k, https://github.com/sveltejs/svelte
webpack,webpack,64.3k, https://github.com/webpack/webpack
sway,FuelLabs,63k, https://github.com/FuelLabs/sway
gatsby,gatsbyjs,55.1k, https://github.com/gatsbyjs/gatsby
kotlin,JetBrains,48.1k, https://github.com/JetBrains/kotlin
parcel,parcel-bundler,43.2k, https://github.com/parcel-bundler/parcel
babel,babel,43k, https://github.com/babel/babel
esbuild,evanw,37.5k, https://github.com/evanw/esbuild
v,vlang,35.4k, https://github.com/vlang/v
carbon-lang,carbon-language,32.3k, https://github.com/carbon-language/carbon-lang
marked,markedjs,32.2k, https://github.com/markedjs/marked
zig,ziglang,31.5k, https://github.com/ziglang/zig
swc,swc-project,30.2k, https://github.com/swc-project/swc
typst,typst,29.4k, https://github.com/typst/typst
pkg,vercel,24.2k, https://github.com/vercel/pkg
v8,v8,22.8k, https://github.com/v8/v8
graal,oracle,19.9k, https://github.com/oracle/graal
crystal,crystal-lang,19.2k, https://github.com/crystal-lang/crystal
