Repo Name, User Name, Stars, Repo URL
localstack,localstack,52.6k, https://github.com/localstack/localstack
gitness,harness,31.7k, https://github.com/harness/gitness
jenkins,jenkinsci,22.6k, https://github.com/jenkinsci/jenkins
volkswagen,auchenberg,13.9k, https://github.com/auchenberg/volkswagen
dagger,dagger,10.5k, https://github.com/dagger/dagger
DevOps-Roadmap,milanm,10.1k, https://github.com/milanm/DevOps-Roadmap
origin,openshift,8.5k, https://github.com/openshift/origin
concourse,concourse,7.2k, https://github.com/concourse/concourse
gocd,gocd,7.1k, https://github.com/gocd/gocd
buildbot,buildbot,5.2k, https://github.com/buildbot/buildbot
gaia,gaia-pipeline,5.2k, https://github.com/gaia-pipeline/gaia
strider,Strider-CD,4.6k, https://github.com/Strider-CD/strider
jx,jenkins-x,4.5k, https://github.com/jenkins-x/jx
flagsmith,Flagsmith,4.5k, https://github.com/Flagsmith/flagsmith
cds,ovh,4.5k, https://github.com/ovh/cds
github-pages-deploy-action,JamesIves,4.1k, https://github.com/JamesIves/github-pages-deploy-action
ModernCppStarter,TheLartians,4.1k, https://github.com/TheLartians/ModernCppStarter
werf,werf,4k, https://github.com/werf/werf
cml,iterative,4k, https://github.com/iterative/cml
xcpretty,xcpretty,3.9k, https://github.com/xcpretty/xcpretty
